"","ensemblID","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol"
"60","ENSG00000180769",1.76681881282403,-0.989480559432154,4.4117767021852,8.43753639815283e-05,0.00041859334465836,0.857124461810423,"WDFY3-AS2"
"64","ENSG00000182057",-1.71171236470427,-0.953304324027526,-5.15394121014913,8.61031849240343e-06,5.21203020108507e-05,3.08952283403587,"OGFRP1"
"65","ENSG00000182165",-1.57710008276527,0.273490325857145,-5.00587619209585,1.36356183430206e-05,7.98956077563895e-05,2.63819594067564,"TP53TG1"
"67","ENSG00000182586",-1.74995152778323,-1.7159745554779,-3.68277236966078,0.00072811518338784,0.00283103565296917,-1.2247670892293,"LINC00334"
"77","ENSG00000186594",-2.50560118250147,2.93862258387378,-7.53745059189184,5.28259803792588e-09,7.35890395548152e-08,10.4115260666507,"MIR22HG"
"80","ENSG00000187621",-2.38159389289257,0.624014886838138,-6.85079963998247,4.33006721058521e-08,4.73158253374857e-07,8.32142466532018,"TCL6"
"82","ENSG00000188185",-2.2966618158003,0.721994064943969,-10.8578763845317,4.25262219587215e-13,2.48483077472696e-11,19.7835899009205,"LINC00265"
"83","ENSG00000188511",-1.74456725250375,3.30579597453335,-5.76169143147573,1.29044906837495e-06,9.64284055178225e-06,4.95936880107394,"C22orf34"
"90","ENSG00000196295",-1.56704749546037,6.21271350053386,-6.78419551847658,5.32064166846531e-08,5.66682012638824e-07,8.11694774141069,"GARS1-DT"
"95","ENSG00000196756",-2.91593577289014,2.76693240053218,-11.8719733234314,3.16171674568078e-14,4.15666948408721e-12,22.3586429297008,"SNHG17"
"107","ENSG00000197536",-1.92560908803387,5.87285754466698,-8.96534265601254,7.75521896796304e-11,1.78285279771697e-09,14.6105040625612,"IRF1-AS1"
"110","ENSG00000197880",-3.01568041626285,-1.0811333026603,-9.95789555661953,4.77187886542413e-12,1.77657472449906e-10,17.382905796273,"MDS2"
"114","ENSG00000198590",-2.62484316224752,0.388256255433002,-13.0497479347734,1.81517641550413e-15,5.09096478668391e-13,25.180787309855,"C3orf35"
"132","ENSG00000203875",-2.79357818092896,3.17229546572489,-7.92087451041262,1.66298978576653e-09,2.70123476012347e-08,11.5609108469976,"SNHG5"
"137","ENSG00000204110",-2.56609221291733,0.470137201475874,-7.50550771048435,5.82039884856705e-09,7.97603190746631e-08,10.3151400235331,"LINC02520"
"138","ENSG00000204241",-1.61922870558778,-1.77652538074926,-6.18055166835087,3.48096452768412e-07,3.05092036832648e-06,6.25497606833986,"LINC02731"
"141","ENSG00000204283",-1.73531081728293,-2.34973436160388,-6.0829923607595,4.72202951097611e-07,3.98907191820813e-06,5.95317851163026,"LINC01973"
"157","ENSG00000205056",-1.51766149550849,-0.64625885434248,-4.8341242555112,2.31895192246885e-05,0.000129731791726416,2.11782146010737,"LINC02397"
"166","ENSG00000205837",-2.70997036675211,-1.98014750053705,-7.83768014854472,2.13424857846721e-09,3.35029245134759e-08,11.3127561087916,"LINC00487"
"167","ENSG00000205853",-2.77590682299339,-1.06527543202778,-8.54955856795183,2.58738657136451e-10,5.08146162880085e-09,13.4118365240271,"RFPL3S"
"168","ENSG00000205959",-2.73872108819297,-0.626258206843186,-8.92899836064537,8.60925434278582e-11,1.95779097405946e-09,14.5065774261802,"AC105345.1"
"177","ENSG00000212694",-1.81371379936068,3.86376504816645,-7.72929897852684,2.95717253224613e-09,4.3652016993542e-08,10.9884240293088,"LINC01089"
"188","ENSG00000213279",-2.329361240465,0.807068953991945,-6.97101237472048,2.98779859920862e-08,3.40641428370479e-07,8.68981182734497,"Z97192.2"
"189","ENSG00000213373",1.8598305314696,0.0137311483288971,4.59327350511284,4.85755388922391e-05,0.000253123154695315,1.39512767536355,"LINC00671"
"197","ENSG00000214407",-1.74281876910995,-2.24788033789885,-7.65478867707111,3.70295795640504e-09,5.33733230898503e-08,10.7647818804524,"LINC02085"
